CustomerID,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,R_quartile,F_quartile,M_quartile,RFM_Score,Segment
12346,326,1,77183.6,0.963816547591611,0.3440884996542982,0.9976953215026504,1,2,4,7,Others
12347,2,7,4310.0,0.041484212952293154,0.8713989398478912,0.9225628024890528,4,4,4,12,Champions
12348,75,4,1797.24,0.6218022585849274,0.7430283475455174,0.7681493431666283,2,3,4,9,Loyal
12349,19,1,1757.55,0.2740262733348698,0.3440884996542982,0.7616962433740493,3,2,4,9,Others
12350,310,1,334.4,0.9476837981101637,0.3440884996542982,0.2832449873242683,1,2,2,5,Others
12352,36,8,2506.04,0.42406084351233003,0.8939847891219175,0.8382115694860567,3,4,4,11,Loyal
12353,204,1,89.0,0.8326803410924176,0.3440884996542982,0.026734270569255588,1,2,1,4,Others
12354,232,1,1079.4,0.8619497580087577,0.3440884996542982,0.6404701544134593,1,2,3,6,Others
12355,214,1,459.4,0.8455865406775754,0.3440884996542982,0.3823461627103019,1,2,2,5,Others
12356,23,3,2811.43,0.31481908273795806,0.6536068218483522,0.8614888223092878,3,3,4,10,Loyal
12357,33,1,6207.67,0.4086194975800876,0.3440884996542982,0.9534454943535376,3,2,4,9,Others
12358,2,2,1168.06,0.041484212952293154,0.5365291541829915,0.6616731965890759,4,3,3,10,Loyal
12359,58,4,6372.58,0.5383728969808712,0.7430283475455174,0.9550587693016824,2,3,4,9,Loyal
12360,52,3,2662.06,0.5120995621110855,0.6536068218483522,0.8515787047706845,2,3,4,9,Loyal
12361,287,1,189.9,0.9278635630329569,0.3440884996542982,0.13805024199124222,1,2,1,4,Others
12362,3,10,5226.23,0.06199585157870477,0.9221018667895828,0.9412306983175847,4,4,4,12,Champions
12363,110,2,552.0,0.7038488130905739,0.5365291541829915,0.4335100253514635,2,3,2,7,Others
12364,8,4,1313.1,0.13436275639548284,0.7430283475455174,0.690481677805946,4,3,3,10,Loyal
12365,291,2,641.38,0.9329338557271261,0.5365291541829915,0.4828301451947453,1,3,2,6,Others
12367,4,1,168.9,0.08757778289928556,0.3440884996542982,0.11615579626642084,4,2,1,7,Others
12370,51,4,3545.69,0.5044941230698318,0.7430283475455174,0.8949066605208573,2,3,4,9,Loyal
12371,45,2,1887.96,0.4763770454021664,0.5365291541829915,0.781516478451256,3,3,4,10,Loyal
12372,72,3,1298.04,0.606360912652685,0.6536068218483522,0.6867941922101867,2,3,3,8,Loyal
12373,311,1,364.6,0.9495275409080434,0.3440884996542982,0.3122839363908735,1,2,2,5,Others
12374,25,1,742.9300000000001,0.3376353998617193,0.3440884996542982,0.5323807328877621,3,2,3,8,Others
12375,11,2,457.5,0.1836828762387647,0.5365291541829915,0.38050241991242223,4,3,2,9,Others
12377,315,2,1628.12,0.9536759622032727,0.5365291541829915,0.745333026042867,1,3,3,7,Loyal
12378,130,1,4008.62,0.7342705692555889,0.3440884996542982,0.9142659598985942,2,2,4,8,Others
12379,82,2,852.24,0.6464623185065683,0.5365291541829915,0.5722516708919105,2,3,3,8,Loyal
12380,22,4,2724.81,0.3012214796035953,0.7430283475455174,0.854805254666974,3,3,4,10,Loyal
12381,5,5,1845.31,0.10209725743258816,0.7988015671813782,0.775985250057617,4,4,4,12,Champions
12383,185,5,1850.56,0.8087116847199816,0.7988015671813782,0.7762157179073519,1,4,4,9,Loyal
12384,29,2,585.27,0.37059230237381885,0.5365291541829915,0.4496427748329108,3,3,2,8,Others
12386,338,2,401.9,0.9723438580318046,0.5365291541829915,0.3431666282553584,1,3,2,6,Others
12388,16,6,2780.66,0.23138972113390183,0.8384420373357917,0.8584927402627334,4,4,4,12,Champions
12390,80,1,549.84,0.6395482830145195,0.3440884996542982,0.43258815395252365,2,2,2,6,Need Attention
12391,22,1,460.89,0.3012214796035953,0.3440884996542982,0.38326803410924176,3,2,2,7,Need Attention
12393,72,4,1582.6,0.606360912652685,0.7430283475455174,0.7377275870016132,2,3,3,8,Loyal
12394,64,2,1272.48,0.5708688637935008,0.5365291541829915,0.6826457709149574,2,3,3,8,Loyal
